SearchTerm,Name,Class,Order
DNA,DNA,DNA,DNA
DNA-1,DNA.NonAut,DNA,DNA
DNA-2,DNA.NonAut,DNA,DNA
DNA-3,DNA.NonAut,DNA,DNA
DNA3,DNA.NonAut,DNA,DNA
DNA-4,DNA.NonAut,DNA,DNA
DNAX1,DNA.NonAut,DNA,DNA
hAT,TIR.hAT,DNA,DNA
EnSpm,TIR.EnSpm,DNA,DNA
Gulliver,TIR.Gulliver,DNA,DNA
Harbinger,TIR.Harbinger,DNA,DNA
hAT,TIR.hAT,DNA,DNA
Mariner,TIR.Mariner,DNA,DNA
Novosib,TIR.Novosib,DNA,DNA
P-1,TIR.P,DNA,DNA
P-2,TIR.P,DNA,DNA
DNA-8,TIR.P,DNA,DNA
TCR1,TIR.TCR1,DNA,DNA
TOC2,TIR.TOC2,DNA,DNA
DIRS,DIRS,RET,RET
RandI,LINE.Dualen/RandI,RET,RET
L1,LINE.L1,RET,RET
RTE,LINE.RTE,RET,RET
LTR1,LTR,RET,RET
LTR2,LTR,RET,RET
LTR3,LTR,RET,RET
LTR4,LTR,RET,RET
Copia,LTR.Copia,RET,RET
Gypsy,LTR.Gypsy,RET,RET
REM1,LTR.REM1,RET,RET
nonLTR,nonLTR,RET,RET
SINE,SINE,RET,RET
TOC1,LTR.TOC1,RET,RET
TE1,Un.TE1,Undefined,Undefined
TE2,Un.TE2,Undefined,Undefined
rich,Unknown,Unknown,Unknown
)n,Unknown,Unknown,Unknown
rnd,Unknown,Unknown,Unknown
REP,Unknown,Unknown,Unknown
